Field_ID,Crop_Type,Soil_Quality,Irrigation_Method,Fertilizer_Amount_kg_per_acre,Rainfall_inches,Pesticide_Use_liters_per_acre,Yield_tons_per_acre
1001,Corn,Good,,20.89,11.48,2.01,3.843
1002,Corn,Fair,None,250.19,20.41,2.2,4.57
1003,Corn,Good,None,39.5,22.14,2.36,3.852
1004,Corn,Poor,None,96.9,9.59,1.89,2.911
1005,Corn,Poor,None,75.29,11.85,1.93,3.118
1006,Wheat,Good,Sprinkler,55.05,20.22,1.88,3.68
1007,Wheat,Fair,None,350.0,8.8,,3.46
1008,Wheat,Poor,Sprinkler,196.42,9.99,0.58,3.099
1009,Soybeans,Poor,,198.39,8.77,1.94,3.558
1010,Corn,Good,None,103.75,0.71,1.52,3.421
1011,Soybeans,Good,None,85.87,1.68,1.63,4.012
1012,Soybeans,Fair,Drip,55.87,3.17,0.89,3.04
1013,Soybeans,Fair,Sprinkler,70.02,6.55,1.28,3.462
1014,Soybeans,Good,Drip,51.12,13.31,1.05,4.007
1015,Wheat,Poor,,120.73,9.74,1.31,3.205
1016,Corn,Fair,Drip,63.55,12.65,1.38,3.883
1017,Soybeans,Fair,None,110.9,13.62,1.1,3.498
1018,Wheat,Poor,None,43.31,10.51,1.97,2.384
1019,Wheat,Fair,Sprinkler,56.48,15.63,1.29,3.408
1020,Soybeans,Fair,Sprinkler,35.64,8.32,1.68,3.689
1021,Corn,Poor,None,66.91,2.25,2.77,2.717
1022,Corn,Good,,86.69,9.58,1.99,3.966
1023,Corn,Poor,Drip,163.14,9.78,0.96,3.73
1024,Corn,Good,None,39.54,24.24,1.16,2.98
1025,Wheat,Fair,Sprinkler,77.6,14.06,1.56,2.882
1026,Wheat,Fair,Drip,32.84,19.14,1.7,3.441
1027,Soybeans,Good,None,53.45,13.56,1.27,3.052
1028,Wheat,Fair,Drip,36.64,18.58,0.72,3.874
1029,Corn,Poor,,68.31,9.18,1.18,2.464
1030,Wheat,Good,Drip,48.64,22.57,2.01,4.805
1031,Soybeans,Good,None,128.97,2.74,1.87,3.863
1032,Corn,Good,Drip,144.1,1.76,0.92,4.596
1033,Soybeans,Good,None,81.71,1.59,1.36,3.149
1034,Wheat,Good,None,64.27,15.7,1.43,4.071
1035,Corn,Fair,Drip,67.72,3.0,0.7,3.782
1036,Corn,Good,None,37.75,28.2,2.35,2.723
1037,Corn,Fair,None,42.18,20.27,1.4,3.744
1038,Corn,Fair,None,61.81,13.19,0.98,2.801
1039,Soybeans,Fair,,74.22,19.04,2.0,3.631
1040,Corn,Fair,None,107.3,8.97,1.33,4.154
1041,Corn,Good,None,29.16,2.36,1.04,2.996
1042,Soybeans,Fair,None,52.34,26.83,0.83,2.94
1043,Corn,Good,None,70.79,21.29,1.71,4.463
1044,Corn,Fair,None,350.0,8.89,2.03,3.533
1045,Soybeans,Good,Drip,38.36,24.03,2.23,3.494
1046,Corn,Good,,78.54,3.68,1.82,3.736
1047,Corn,Fair,None,106.93,5.97,,3.902
1048,Wheat,Fair,,91.72,14.18,1.67,3.407
1049,Corn,Poor,Sprinkler,165.57,11.24,2.4,4.034
1050,Corn,Poor,None,80.24,5.12,1.78,3.279
1051,Wheat,Fair,Drip,63.17,13.28,1.97,3.799
1052,Soybeans,Poor,None,53.69,22.26,0.22,3.627
1053,Soybeans,Fair,None,75.07,3.73,1.96,3.453
1054,Soybeans,Good,None,37.31,16.54,2.15,3.878
1055,Corn,Good,,57.23,16.71,,2.959
1056,Soybeans,Fair,Drip,79.91,40.0,1.33,4.36
1057,Corn,Fair,None,89.03,9.34,0.94,3.181
1058,Corn,Poor,,57.05,6.91,1.04,2.182
1059,Wheat,Fair,None,81.23,10.34,1.08,2.977
1060,Wheat,Good,Sprinkler,44.57,2.41,1.09,3.957
1061,Corn,Poor,Drip,60.66,1.16,1.54,3.086
1062,Wheat,Fair,None,121.86,12.39,1.44,3.4
1063,Corn,Fair,None,312.19,23.16,,3.97
1064,Corn,Fair,,47.87,4.21,0.44,4.12
1065,Corn,Good,None,32.86,4.4,1.56,2.977
1066,Corn,Good,None,76.36,6.74,0.62,2.418
1067,Corn,Poor,None,43.45,14.67,1.31,2.535
1068,Corn,Fair,None,64.62,1.4,0.0,3.388
1069,Soybeans,Good,Sprinkler,88.15,13.26,,3.554
1070,Soybeans,Poor,None,56.64,27.33,1.57,3.18
1071,Wheat,Poor,None,38.33,10.77,1.33,3.685
1072,Soybeans,Good,None,60.54,14.09,2.04,4.336
1073,Wheat,Poor,None,140.12,9.28,1.38,4.052
1074,Wheat,Good,Sprinkler,34.06,10.22,0.75,4.146
1075,Corn,Fair,None,81.21,8.25,1.72,3.494
1076,Soybeans,Good,None,59.96,3.24,,2.682
1077,Corn,Good,Sprinkler,54.95,16.27,,4.051
1078,Soybeans,Fair,None,215.36,19.36,1.46,4.125
1079,Soybeans,Poor,None,46.29,14.69,,2.251
1080,Corn,Good,Sprinkler,150.83,2.89,1.7,4.789
1081,Corn,Good,None,104.92,10.45,1.81,3.637
1082,Corn,Fair, none,51.56,2.86,0.93,3.459
1083,Wheat,Good,Sprinkler,179.84,29.06,1.57,4.347
1084,Soybeans,Fair,Sprinkler,63.16,3.85,2.39,2.791
1085,Soybeans,Good,Sprinkler,58.72,3.2,1.72,3.16
1086,Soybeans,Fair,Sprinkler,151.73,14.33,2.36,4.11
1087,Soybeans,Poor,None,42.87,21.19,0.96,3.023
1088,Corn,Poor,None,74.34,33.06,1.91,3.668
1089,Corn,Poor,Drip,99.58,16.18,1.67,4.133
1090,Wheat,Good,None,99.38,0.29,1.1,3.586
1091,Corn,Poor,Sprinkler,26.17,6.63,0.94,3.565
1092,Soybeans,Fair,Drip,110.27,6.96,1.94,3.947
1093,Soybeans,Fair,Drip,112.19,9.04,1.52,3.69
1094,Corn,Fair,Sprinkler,112.16,20.72,1.17,3.72
1095,Corn,Fair,None,32.84,11.61,1.21,3.675
1096,Corn,Poor,Sprinkler,100.2,15.76,1.03,4.039
1097,Corn,Fair,Sprinkler,66.06,14.13,1.45,4.367
1098,Soybeans,Good,Sprinkler,69.12,9.15,1.25,3.761
1099,Soybeans,Good,,81.27,18.59,0.48,3.919
1100,Corn,Good,None,170.05,3.9,1.3,3.262
1101,Soybeans,Poor,Drip,48.35,8.7,1.53,3.109
1102,Corn,Fair,None,138.96,11.93,1.06,3.682
1103,Soybeans,Poor,None,98.82,3.06,1.73,3.392
1104,Corn,Good,None,64.66,3.83,0.99,3.25
1105,Corn,Poor,None,89.08,18.33,0.85,4.058
1106,Soybeans,Good,None,126.54,4.62,2.68,3.316
1107,Corn,Good,None,350.0,34.5,2.04,5.05
1108,Soybeans,Fair,None,72.45,7.92,1.34,3.605
1109,Soybeans,Fair,,332.93,17.19,1.51,4.502
1110,Corn,Fair,Drip,117.12,32.95,1.98,4.648
1111,Corn,Fair,None,75.21,19.27,2.1,3.343
1112,Wheat,Fair,Sprinkler,109.54,5.85,0.69,3.769
1113,Soybeans,Fair,Drip,39.63,26.78,0.89,4.344
1114,Corn,Poor,Drip,65.79,13.81,,3.954
1115,Corn,Fair,Sprinkler,36.17,19.57,0.68,3.609
1116,Corn,Poor,Sprinkler,126.27,15.09,1.81,3.751
1117,Corn,Good,Sprinkler,51.19,4.16,2.64,4.355
1118,Wheat,Fair,Sprinkler,61.24,4.32,2.01,2.673
1119,Soybeans,Good,Drip,37.78,17.57,0.88,3.624
1120,Soybeans,Good,None,61.82,4.17,1.74,3.808
1121,Wheat,Fair,None,220.95,9.93,0.51,3.83
1122,Corn,Good,Sprinkler,288.28,6.22,1.6,4.583
1123,Soybeans,Fair,Drip,54.63,5.76,2.05,4.399
1124,Corn,Fair,Drip,77.81,1.49,1.05,3.744
1125,Corn,Fair,None,67.06,2.13,1.1,2.533
1126,Corn,Good,None,112.92,6.07,1.03,4.103
1127,Corn,Fair,Drip,24.14,10.67,1.08,4.296
1128,Soybeans,Good,None,28.02,10.57,2.07,3.643
1129,Corn,Good,None,126.35,6.78,2.48,3.784
1130,Wheat,Fair,None,71.52,20.73,1.44,4.217
1131,Wheat,Good,,59.57,24.36,1.66,3.996
1132,Soybeans,Fair,Sprinkler,43.36,3.05,1.99,4.182
1133,Soybeans,Fair,None,179.32,19.37,1.41,4.954
1134,Wheat,Fair,Sprinkler,72.5,5.61,0.39,2.924
1135,Soybeans,Good,,123.79,5.84,1.83,3.908
1136,Wheat,Fair,None,98.13,2.78,1.32,3.959
1137,Corn,Fair,None,106.57,5.17,0.71,3.759
1138,Soybeans,Fair,None,48.82,2.29,1.11,3.175
1139,Corn,Fair,None,80.54,7.77,1.93,3.517
1140,Soybeans,Good,Sprinkler,47.61,3.29,0.98,3.767
1141,Corn,Fair,Sprinkler,113.56,17.63,1.91,3.781
1142,Corn,Fair,Drip,39.77,7.62,1.05,3.744
1143,Wheat,Fair,Sprinkler,61.16,2.05,0.54,2.548
1144,Corn,Good,None,108.54,15.66,1.97,3.884
1145,Soybeans,Fair,Sprinkler,45.49,27.86,1.0,3.99
1146,Corn,Good,None,164.42,21.45,2.16,5.171
1147,Corn,Good,None,157.6,13.73,1.69,4.304
1148,Corn,Fair,,85.77,5.76,,3.534
1149,Wheat,Good,Sprinkler,63.34,2.93,1.44,3.844
1150,Corn,Poor,Drip,61.47,25.77,1.06,3.283
1151,Corn,Good, none,159.11,3.64,2.07,3.656
1152,Corn,Good,None,86.47,2.07,0.8,3.008
1153,Corn,Fair,Sprinkler,162.75,12.07,0.47,4.196
1154,Soybeans,Good,Drip,28.01,6.78,1.47,3.257
1155,Corn,Poor,DRIP,75.0,19.51,1.52,3.047
1156,Corn,Fair,None,77.03,4.56,1.51,3.783
1157,Soybeans,Poor,,60.65,4.84,1.52,3.131
1158,Corn,Fair,Drip,16.49,13.44,1.73,3.69
1159,Soybeans,Good,None,74.33,6.1,2.23,4.617
1160,Wheat,Good,Sprinkler,59.71,18.99,1.79,4.339
1161,Corn,Fair,None,44.79,2.26,1.91,3.101
1162,Corn,Good,Sprinkler,112.34,18.88,1.02,4.526
1163,Corn,Good,Drip,132.77,8.58,1.33,5.078
1164,Wheat,Fair,None,39.25,5.31,0.63,3.581
1165,Wheat,Good,None,166.06,7.4,0.88,4.551
1166,Wheat,Poor,None,133.7,5.39,1.38,3.516
1167,Corn,Fair,Drip,37.74,25.93,,4.7
1168,Soybeans,Fair,None,148.11,2.52,2.03,3.856
1169,Corn,Poor,Sprinkler,128.23,9.31,1.7,3.535
1170,Soybeans,Fair,None,132.81,6.3,1.89,3.639
1171,Corn,Poor,None,107.41,1.76,,3.337
1172,Wheat,Fair,None,154.31,4.48,2.86,2.675
1173,Wheat,Poor,None,110.3,9.5,1.86,3.841
1174,Soybeans,Poor,None,61.45,11.76,2.59,4.253
1175,Soybeans,Fair,Sprinkler,151.31,7.99,0.73,3.835
1176,Soybeans,Poor,None,72.95,33.81,1.29,3.148
1177,Soybeans,Good,None,80.86,7.78,2.32,3.496
1178,Corn,Fair,None,17.68,14.29,1.64,3.763
1179,Corn,Fair,None,82.89,3.53,0.6,3.561
1180,Corn,Poor,Sprinkler,171.57,33.86,1.8,4.942
1181,Soybeans,Fair,Sprinkler,41.44,3.89,1.59,4.148
1182,Corn,Fair,None,102.25,11.62,1.8,3.749
1183,Wheat,Fair,Sprinkler,113.83,22.06,2.09,3.488
1184,Soybeans,Poor,None,113.57,22.16,,2.929
1185,Wheat,Fair,None,42.06,11.15,2.1,4.377
1186,Soybeans,Poor,Sprinkler,64.65,22.04,0.69,3.661
1187,Soybeans,Poor,Sprinkler,39.14,11.89,,3.672
1188,Wheat,Good,None,64.79,1.68,1.18,3.475
1189,Wheat,Fair,Sprinkler,67.89,4.91,1.16,4.171
1190,Corn,Poor,None,69.67,7.81,1.16,3.438
1191,Corn,Poor,Sprinkler,276.76,2.51,2.06,3.565
1192,Corn,Fair,Sprinkler,178.94,5.31,2.33,4.125
1193,Corn,Fair,Sprinkler,186.79,15.12,0.85,4.003
1194,Wheat,Good,Sprinkler,47.6,25.23,1.57,3.598
1195,Soybeans,Fair,Drip,133.88,7.14,1.89,4.131
1196,Soybeans,Fair,,121.12,3.92,1.2,3.4
1197,Wheat,Fair,None,46.06,19.99,1.39,3.148
1198,Wheat,Good,Sprinkler,30.83,7.51,0.89,3.642
1199,Corn,Fair,None,138.43,17.52,1.85,3.697
1200,Soybeans,Poor,None,93.75,2.74,1.37,2.638
1201,Wheat,Fair,Sprinkler,71.8,7.16,1.76,3.777
1202,Corn,Fair,None,350.0,11.55,1.01,3.826
1203,Wheat,Fair,Sprinkler,117.3,11.0,1.65,2.3
1204,Soybeans,Good,Sprinkler,89.94,5.17,2.76,4.247
1205,Corn,Fair,Drip,22.6,6.26,1.32,3.343
1206,Soybeans,Fair,,52.65,20.63,0.62,3.03
1207,Corn,Fair,None,54.67,7.28,1.15,3.798
1208,Wheat,Good,Sprinkler,123.81,12.31,,4.99
1209,Corn,Poor,None,99.62,15.05,0.62,3.7
1210,Soybeans,Poor,None,279.79,6.2,1.78,3.09
1211,Corn,Good,None,89.38,13.54,1.29,4.928
1212,Wheat,Poor,None,67.08,7.34,0.21,3.214
1213,Wheat,Fair,None  ,74.79,2.0,2.76,3.808
1214,Soybeans,Poor,None,65.87,3.05,2.1,2.338
1215,Soybeans,Poor,,81.08,13.27,1.76,3.274
1216,Soybeans,Good,None,87.04,7.81,1.29,2.505
1217,Soybeans,Good,Drip,256.46,12.67,1.7,4.649
1218,Wheat,Fair,Sprinkler,70.3,15.87,0.49,3.828
1219,Wheat,Poor,None,54.01,9.46,0.45,2.516
1220,Corn,Fair,None,88.13,16.3,1.66,3.937
1221,Corn,Good,None,127.4,15.72,0.72,4.746
1222,Soybeans,Poor,Drip,148.4,3.93,1.65,3.311
1223,Corn,Poor,Drip,43.54,15.51,0.64,3.911
1224,Corn,Fair,Sprinkler,61.33,11.43,1.58,4.101
1225,Soybeans,Good,None,38.3,12.07,1.94,4.359
1226,Corn,Poor,None,112.92,19.23,1.35,3.444
1227,Soybeans,Fair,None,69.55,5.3,1.84,3.711
1228,Wheat,Good,Sprinkler,130.06,11.41,0.82,4.76
1229,Soybeans,Good,None,62.85,6.25,1.46,2.99
1230,Wheat,Poor,,50.54,13.16,1.3,3.135
1231,Soybeans,Good,,51.31,17.34,2.65,3.907
1232,Soybeans,Good,Drip,47.84,40.0,1.23,5.143
1233,Corn,Fair,None,152.68,8.02,1.97,3.853
1234,Soybeans,Good,Drip,304.33,24.6,1.86,4.378
1235,Wheat,Good,None,152.5,17.7,1.74,4.002
1236,Corn,Poor,Sprinkler,38.9,7.96,0.84,2.847
1237,Soybeans,Fair,Sprinkler,57.05,9.79,1.44,3.583
1238,Soybeans,Good,None,17.94,11.47,1.81,3.168
1239,Corn,Good,None,129.57,23.86,1.59,4.393
1240,Wheat,Good,Drip,128.4,18.81,1.81,4.485
1241,Wheat,Poor,Drip,261.21,19.1,1.3,3.73
1242,Corn,Fair,Drip,350.0,6.32,1.16,4.235
1243,Soybeans,Fair,Sprinkler,94.06,3.91,2.33,3.67
1244,Soybeans,Poor,None,37.0,11.33,1.89,2.675
1245,Wheat,Poor,Drip,43.07,9.21,1.13,3.778
1246,Soybeans,Good,,40.56,3.45,1.41,2.744
1247,Wheat,Fair,None,143.06,8.3,1.44,3.769
1248,Corn,Fair,Sprinkler,107.89,3.57,2.3,3.5
1249,Corn,Good,None,113.4,8.51,1.74,3.371
1250,Soybeans,Poor,Sprinkler,108.0,29.2,1.25,3.174
1251,Soybeans,Good,Sprinkler,24.34,7.38,2.05,3.003
1252,Wheat,Fair,None,83.99,27.53,2.22,4.156
1253,Corn,Poor,None,71.72,5.05,2.52,3.486
1254,Corn,Good,None,35.54,4.34,1.75,3.64
1255,Soybeans,Good,Sprinkler,98.64,6.92,1.36,3.462
1256,Corn,Good,None,95.58,7.31,2.15,3.792
1257,Corn,Fair,None,68.69,9.31,1.58,3.622
1258,Corn,Poor,,76.93,6.78,0.9,2.749
1259,Soybeans,Good,None,25.43,6.92,1.38,3.432
1260,Corn,Fair,sprinkler,71.94,16.17,1.31,4.22
1261,Corn,Fair,Sprinkler,179.93,13.72,1.27,4.466
1262,Corn,Good,None,226.23,6.23,1.32,3.667
1263,Corn,Fair,Sprinkler,69.79,12.02,1.08,3.359
1264,Corn,Poor,None,39.0,7.04,1.08,2.872
1265,Soybeans,Poor, Sprinkler ,185.6,18.39,1.59,3.879
1266,Corn,Poor,Drip,26.79,11.38,1.51,3.957
1267,Corn,Poor,None,162.2,13.48,2.54,4.211
1268,Corn,Fair,Sprinkler,35.51,6.97,1.6,3.371
1269,Wheat,Fair,None,78.77,23.12,1.07,3.207
1270,Soybeans,Fair,None,39.4,20.49,1.46,2.888
1271,Corn,Good,Sprinkler,56.98,4.59,2.26,3.636
1272,Corn,Fair,None,93.68,24.18,0.86,3.551
1273,Corn,Good,Drip,58.62,6.88,2.69,3.812
1274,Soybeans,Poor,,31.9,16.45,1.1,2.535
1275,Soybeans,Good,Sprinkler,83.37,3.84,1.08,3.606
1276,Soybeans,Poor,Sprinkler,56.97,5.97,1.44,2.947
1277,Corn,Poor,None,56.75,36.16,1.03,3.345
1278,Soybeans,Fair,Sprinkler,112.09,9.02,1.9,4.164
1279,Soybeans,Fair,Sprinkler,78.34,2.99,1.0,3.92
1280,Corn,Good,Drip,102.48,6.13,1.91,3.036
1281,Corn,Fair,Drip,62.92,19.89,1.27,3.947
1282,Soybeans,Poor,Sprinkler,91.11,37.02,1.45,4.219
1283,Corn,Fair,,111.0,2.94,0.94,3.175
1284,Soybeans,Good,None,63.42,1.7,1.22,3.034
1285,Corn,Good,Drip,128.18,20.22,2.62,4.724
1286,Corn,Fair,None,123.07,1.71,0.83,3.547
1287,Wheat,Fair,Sprinkler,44.17,13.96,1.48,3.218
1288,Corn,Good,,169.2,17.28,0.38,4.54
1289,Corn,Fair,,85.2,11.26,1.62,4.637
1290,Wheat,Fair,None,138.59,8.9,1.53,2.826
1291,Wheat,Good,,50.5,13.5,1.35,2.195
1292,Corn,Fair,None,131.27,14.48,0.7,4.328
1293,Wheat,Good,Sprinkler,75.8,10.63,1.37,4.247
1294,Wheat,Poor,Sprinkler,129.49,13.18,1.95,4.194
1295,Soybeans,Fair,Drip,55.34,15.34,1.16,4.459
1296,Corn,Fair,None,80.94,12.22,1.6,3.41
1297,Corn,Fair,None,206.99,21.05,1.96,4.803
1298,Wheat,Fair,Sprinkler,31.98,21.99,1.49,4.099
1299,Corn,Good,Sprinkler,35.73,4.11,1.55,3.598
1300,Wheat,Fair,None,76.12,32.82,1.19,3.897
