Crop_Type,Soil_Quality,Irrigation_Method,Fertilizer_Amount_kg_per_acre,Rainfall_inches,Pesticide_Use_liters_per_acre,Yield_tons_per_acre
Corn,Poor,None,119.78,19.96,,2.901
Soybeans,Fair,Sprinkler,142.06,5.89,2.38,3.72
Soybeans,Poor,Drip,112.67,2.08,1.84,4.31
Wheat,Poor,None,168.61,7.17,1.34,4.11
Soybeans,Good,None,122.97,27.28,1.41,4.522
Corn,Poor,Sprinkler,136.23,16.02,1.48,4.004
Wheat,Poor,None,97.25,5.0,1.95,2.996
Soybeans,Poor,None,174.79,11.52,1.04,2.947
Corn,Poor,None,60.01,29.38,2.25,3.487
Wheat,Poor,None,295.23,6.99,1.96,3.636
Corn,Fair,None,353.5,3.2,,3.357
Corn,Fair,Sprinkler,55.94,11.98,0.89,4.336
Corn,Poor,Sprinkler,47.03,11.39,,3.181
Corn,Fair,Drip,141.39,26.27,3.56,4.517
Corn,Fair,,76.94,11.47,2.31,5.37
Corn,Poor,Sprinkler,82.65,13.68,,2.217
Soybeans,Poor,Sprinkler,194.33,14.26,,3.413
Wheat,Fair,Drip,208.75,12.55,2.58,4.097
Wheat,Good,None,105.04,5.86,2.46,4.532
Corn,Good,Sprinkler,156.86,6.64,1.19,4.674
Wheat,Fair,Drip,51.46,15.76,,3.257
Soybeans,Fair,Drip,72.26,6.68,2.26,4.212
Wheat,Poor,Sprinkler,129.32,5.37,1.1,3.944
Soybeans,Fair,Sprinkler,87.37,10.21,1.85,4.006
Corn,Fair,,36.49,20.78,1.94,2.985
Soybeans,Fair,None,269.4,11.9,1.05,3.168
Soybeans,Poor,None,95.51,26.33,1.82,4.676
Soybeans,Good,None,119.12,10.95,1.14,3.417
Corn,Fair,None,203.75,5.82,2.16,4.264
Corn,Poor,None,87.01,3.19,2.04,3.139
Corn,Fair,None,88.51,13.78,1.65,3.191
Corn,Good,None,77.11,19.48,2.02,4.487
Soybeans,Poor,Sprinkler,40.96,9.83,,1.845
Wheat,Fair,Sprinkler,39.59,3.27,1.73,3.891
Corn,Good,None,52.21,43.93,1.45,4.339
Soybeans,Fair,Sprinkler,84.58,19.02,2.6,2.865
Corn,Fair,None,89.88,21.81,2.61,4.731
Wheat,Fair,None,111.18,18.97,,2.951
Soybeans,Good,None,63.17,4.03,1.85,3.734
Wheat,Fair,None,135.45,15.86,,2.384
Corn,Fair,None,97.44,22.22,1.86,3.517
Corn,Fair,Drip,35.98,26.77,2.36,4.47
Soybeans,Poor,None,24.77,6.35,2.18,3.099
Soybeans,Fair,None,93.63,5.14,1.89,3.837
Soybeans,Poor,Sprinkler,175.32,6.8,,3.007
Wheat,Good,,48.31,4.16,2.14,4.098
Soybeans,Fair,None,101.61,16.37,2.11,5.054
Corn,Fair,None,85.2,17.74,1.1,3.714
Soybeans,Good,Drip,120.51,4.72,2.49,5.02
Corn,Good,,74.68,3.59,1.94,4.496
Corn,Fair,Sprinkler,140.66,43.69,1.93,4.593
Soybeans,Fair,None,56.91,13.94,1.39,2.62
Corn,Fair,None,101.1,3.6,,3.41
Soybeans,Good,None,31.25,7.12,1.81,3.1
Wheat,Poor,Drip,84.63,10.51,1.7,3.516
Soybeans,Good,Drip,274.61,7.99,1.74,4.754
Corn,Fair,Drip,94.32,21.1,3.08,4.246
Corn,Poor,Sprinkler,95.64,17.12,1.57,4.754
Soybeans,Good,Sprinkler,39.46,5.61,1.51,4.232
Corn,Good,Drip,70.11,2.16,2.43,4.786
Corn,Poor,Sprinkler,208.72,17.03,3.03,5.716
Soybeans,Fair,,57.49,14.44,2.57,3.807
Corn,Good,Sprinkler,100.44,2.35,2.24,3.572
Wheat,Fair,None,74.24,16.02,,4.005
Soybeans,Fair,None,114.26,12.24,1.43,2.353
Soybeans,Poor,Drip,112.44,3.48,2.67,3.782
Soybeans,Fair,None,47.28,8.08,1.53,2.833
Soybeans,Fair,None,113.95,4.29,2.62,3.647
Soybeans,Good,None,34.27,1.98,,3.74
Soybeans,Poor,Sprinkler,43.22,11.98,,2.151
Wheat,Fair,Sprinkler,72.06,5.74,,5.397
Soybeans,Poor,Drip,259.44,10.69,,2.667
Soybeans,Poor,None,78.67,12.42,1.23,3.077
Corn,Poor,Drip,77.41,23.9,2.29,4.121
Corn,Good,None,226.93,28.52,1.58,5.263
Corn,Fair,None,117.79,10.55,,3.691
Soybeans,Fair,Sprinkler,263.75,9.67,2.52,4.778
Soybeans,Good,Sprinkler,174.08,20.21,3.25,5.937
Corn,Poor,None,87.7,17.65,1.73,2.988
Soybeans,Poor,None,100.28,23.09,1.75,3.04
Soybeans,Fair,None,218.63,15.79,1.23,3.894
Corn,Poor,None,211.63,16.33,1.44,3.709
Corn,Good,None,52.62,8.78,2.86,3.721
Soybeans,Fair,None,169.67,30.84,1.43,3.727
Soybeans,Poor,Drip,53.39,9.24,2.03,3.355
Soybeans,Good,Sprinkler,80.33,14.32,1.6,4.699
Soybeans,Poor,Sprinkler,85.8,26.16,1.2,5.394
Wheat,Poor,Drip,88.93,7.4,2.57,3.073
Soybeans,Fair,None,41.51,2.88,1.42,3.222
Corn,Good,,44.4,9.32,,1.937
Wheat,Good,None,64.89,20.32,0.86,3.786
Corn,Good,None,89.48,17.83,2.62,4.747
Corn,Good,Drip,116.9,5.27,,4.136
Soybeans,Poor,None,72.78,11.57,,2.654
Soybeans,Fair,Sprinkler,73.2,18.48,2.54,4.512
Corn,Fair,None,50.7,9.49,1.99,3.422
Corn,Fair,None,49.27,19.26,,2.748
Corn,Good,Sprinkler,94.19,17.43,2.12,4.714
Corn,Good,Sprinkler,46.21,12.5,2.71,4.919
Corn,Fair,Drip,74.82,12.88,,3.032
Wheat,Fair,Drip,170.98,11.6,2.39,4.345
Soybeans,Good,None,333.04,2.42,,3.312
Corn,Good,None,34.42,20.2,,3.411
Soybeans,Fair,Sprinkler,400.0,20.35,2.41,5.455
Soybeans,Good,None,114.67,10.92,0.85,3.612
Soybeans,Good,None,65.34,21.24,2.12,4.731
Corn,Fair,,324.78,10.03,1.34,3.883
Wheat,Fair,,45.33,2.42,2.54,3.533
Corn,Good,None,33.41,23.75,2.75,4.473
Wheat,Fair,None,161.58,28.63,1.97,3.689
Soybeans,Fair,Drip,40.28,27.32,2.27,4.834
Corn,Fair,,71.55,14.68,,3.124
Soybeans,Poor,None,103.47,42.57,2.22,3.704
Corn,Good,Drip,121.95,29.87,2.57,4.514
Corn,Poor,None,351.09,8.33,,2.992
Wheat,Good,Sprinkler,51.64,7.33,1.77,3.397
Corn,Fair,Drip,79.47,9.18,,4.756
Wheat,Good,None,81.08,3.98,1.92,4.545
Wheat,Fair,None,54.95,22.92,,2.946
Corn,Fair,Sprinkler,78.09,22.83,,3.465
Soybeans,Poor,Sprinkler,400.0,34.35,2.3,4.309
Corn,Good,None,38.64,10.93,1.98,4.264
Soybeans,Poor,None,166.98,27.07,1.44,4.216
Wheat,Poor,None,78.62,11.23,2.32,3.076
Wheat,Fair,None,19.3,11.91,2.02,2.831
Corn,Good,Sprinkler,50.29,15.54,,3.967
Soybeans,Poor,Drip,28.03,1.7,1.71,3.069
Corn,Good,Drip,191.4,2.82,2.91,4.891
Wheat,Poor,None,74.69,15.69,2.45,2.641
Wheat,Good,,190.0,22.8,2.52,4.858
Corn,Poor,None,145.18,23.14,2.13,4.901
Wheat,Fair,Drip,72.1,4.03,1.19,4.511
Wheat,Good,Sprinkler,57.25,1.2,1.43,4.838
Soybeans,Poor,None,70.24,5.96,1.81,3.785
Wheat,Good,Sprinkler,47.43,33.97,0.82,4.147
Soybeans,Fair,Sprinkler,73.6,45.0,2.55,5.08
Wheat,Fair,None,47.36,13.08,,2.851
Corn,Good,Sprinkler,49.09,14.35,1.71,3.562
Soybeans,Fair,Sprinkler,48.97,4.53,,3.176
Soybeans,Fair,Drip,184.16,10.26,0.75,4.145
Corn,Poor,Sprinkler,28.41,7.63,,2.63
Wheat,Good,Drip,86.49,11.27,,4.267
Soybeans,Fair,None,68.25,20.01,2.58,4.317
Soybeans,Fair,None,278.17,3.52,1.54,2.474
Corn,Fair,None,90.49,10.34,2.35,4.584
Corn,Good,Drip,192.32,18.21,1.84,5.236
Soybeans,Fair,Sprinkler,70.25,2.18,2.27,3.185
Wheat,Poor,Sprinkler,23.32,5.89,1.24,3.566
Soybeans,Poor,None,127.04,13.46,1.93,3.461
Wheat,Fair,Drip,120.34,15.84,,4.703
Corn,Fair,Drip,143.07,5.01,2.88,4.378
Corn,Poor,Drip,68.85,44.77,2.63,5.147
Wheat,Good,Drip,94.54,6.21,,3.871
Wheat,Good,Drip,135.37,7.16,1.39,5.058
Soybeans,Fair,Drip,72.43,11.42,2.24,4.315
Soybeans,Poor,Sprinkler,135.44,3.58,1.84,2.665
Wheat,Fair,None,134.09,7.39,1.58,3.642
Corn,Fair,None,50.13,9.29,2.0,3.219
Soybeans,Good,,186.42,27.52,1.92,5.242
Corn,Fair,Drip,79.69,43.02,0.81,5.147
Wheat,Fair,None,161.04,5.58,1.72,3.202
Soybeans,Poor,None,101.69,5.79,2.63,3.282
Corn,Poor,None,97.46,6.63,,3.877
Soybeans,Fair,Sprinkler,143.64,21.69,2.16,3.147
Soybeans,Poor,Drip,117.29,11.59,1.73,3.151
Corn,Fair,Sprinkler,39.27,4.09,1.86,3.648
Wheat,Fair,Drip,206.98,5.0,1.7,4.007
Wheat,Poor,None,68.43,3.09,1.96,1.855
Soybeans,Poor,Drip,63.21,10.35,1.09,3.704
Corn,Good,,116.48,11.46,2.11,5.215
Corn,Fair,None,114.44,15.75,1.77,4.095
Corn,Fair,Drip,58.68,16.54,2.47,4.507
Corn,Poor,None,224.57,3.42,,3.091
Soybeans,Good,Drip,85.41,23.06,1.6,4.347
Corn,Good,None,33.63,21.59,1.95,3.337
Corn,Poor,,181.64,10.67,1.45,4.37
Soybeans,Good,Drip,272.95,18.42,1.61,3.957
Soybeans,Fair,Drip,160.49,35.07,1.69,3.909
Soybeans,Good,None,35.95,16.55,2.26,5.83
Corn,Good,None,64.69,10.76,1.86,3.593
Corn,Good,Drip,153.47,9.38,1.82,4.559
Wheat,Good,Drip,64.6,18.8,2.43,5.881
Wheat,Good,None,48.4,7.55,1.09,2.569
Corn,Good,None,45.06,3.6,2.25,3.662
Wheat,Fair,None,113.33,1.66,1.77,4.27
Corn,Poor,,103.19,14.34,2.3,3.84
Wheat,Fair,None,209.11,11.4,2.41,3.819
Soybeans,Fair,None,38.71,4.82,1.95,2.657
Corn,Fair,Sprinkler,74.96,9.94,2.82,4.642
Corn,Good,None,91.99,14.25,2.69,3.517
Wheat,Good,None,171.16,17.97,,3.978
Corn,Fair,Drip,17.24,17.85,1.25,3.724
Soybeans,Poor,None,67.71,8.55,,1.854
Corn,Poor,None,101.3,3.61,2.34,3.636
Corn,Fair,,59.26,6.78,1.56,3.156
Soybeans,Fair,Drip,129.15,3.31,,2.977
Soybeans,Good,None,59.07,10.83,2.34,3.987
Soybeans,Fair,None,118.82,4.16,2.23,4.431
Wheat,Fair,None,62.41,22.44,1.87,3.845
Soybeans,Fair,None,133.05,15.04,0.94,3.488
Wheat,Fair,None,59.71,11.4,1.69,4.707
Wheat,Fair,Drip,86.06,9.33,1.89,5.04
Corn,Good,Drip,42.88,14.44,2.38,3.838
Soybeans,Good,None,47.71,19.29,,3.415
Soybeans,Fair,None,50.56,14.44,1.35,3.47
Corn,Fair,None,138.96,8.48,1.24,2.587
Soybeans,Good,Drip,400.0,15.26,1.5,4.81
Soybeans,Fair,None,67.07,1.98,2.52,3.301
Wheat,Fair,None,115.78,3.04,2.76,3.373
Wheat,Fair,Sprinkler,178.66,10.59,,3.613
Corn,Fair,None,85.5,3.86,,2.489
Wheat,Fair,Sprinkler,39.2,4.52,2.19,4.287
Soybeans,Good,Drip,106.77,9.88,2.81,4.254
Corn,Good,,67.94,1.53,1.41,4.581
Wheat,Fair,,400.0,3.54,0.78,3.563
Corn,Fair,,104.28,19.78,1.13,3.822
Corn,Fair,,39.24,10.48,2.06,4.056
Corn,Good,None,68.14,7.12,,2.361
Corn,Good,Drip,93.06,30.22,2.03,5.983
Corn,Poor,Drip,89.36,22.63,,2.77
Corn,Good,Drip,34.16,2.53,2.38,5.162
Corn,Fair,None,167.67,11.94,1.98,4.428
Soybeans,Good,None,92.65,32.37,2.71,4.231
Soybeans,Fair,Sprinkler,71.14,12.82,1.71,4.264
Wheat,Good,,216.45,18.42,2.25,5.149
Soybeans,Poor,None,78.49,13.53,3.58,3.663
Corn,Poor,None,180.22,8.28,1.09,3.441
Soybeans,Fair,Drip,106.41,14.92,,4.002
Corn,Poor,None,127.37,39.09,1.78,4.137
Corn,Poor,,58.68,11.29,2.2,4.109
Soybeans,Fair,None,85.44,13.21,2.16,4.327
Soybeans,Fair,Sprinkler,166.2,7.81,2.02,3.847
Soybeans,Good,,92.26,12.6,2.98,4.882
Wheat,Fair,None,68.01,14.53,2.56,3.694
Soybeans,Poor,None,74.6,19.29,1.79,3.726
Soybeans,Fair,Sprinkler,67.1,17.48,2.36,4.764
Soybeans,Fair,Sprinkler,70.48,4.32,1.59,3.09
Wheat,Poor,Drip,69.68,6.83,2.01,4.748
Corn,Good,None,73.86,4.0,1.0,4.0
Corn,Fair,None,120.92,17.61,2.29,4.953
Corn,Fair,Sprinkler,204.77,7.58,0.6,3.792
Corn,Poor,Sprinkler,163.91,4.31,1.91,4.283
Corn,Fair,None,144.28,8.25,1.85,3.788
Corn,Fair,None,48.83,12.74,,2.315
Corn,Good,Sprinkler,138.29,3.03,2.43,5.301
Soybeans,Fair,Sprinkler,74.94,21.55,1.54,2.874
Corn,Fair,Sprinkler,123.44,8.45,2.05,4.0
Soybeans,Poor,,56.93,7.77,1.04,1.759
Wheat,Fair,Drip,107.97,17.17,2.51,3.698
Soybeans,Fair,None,70.61,5.29,1.03,2.837
Wheat,Fair,,88.68,20.23,1.35,4.445
Corn,Fair,None,88.71,8.37,,3.886
Wheat,Fair,Sprinkler,79.51,3.85,,4.105
Wheat,Good,None,78.25,16.25,1.98,3.909
Corn,Fair,Drip,65.63,10.19,2.3,5.209
Corn,Good,Sprinkler,74.16,2.35,1.18,4.21
Corn,Poor,Drip,35.67,8.4,,2.276
Corn,Fair,None,111.43,21.85,,3.384
Corn,Good,None,77.16,1.29,1.65,3.066
Corn,Fair,,51.01,17.15,2.36,4.883
Soybeans,Fair,None,98.68,5.63,,2.834
Wheat,Good,None,72.8,13.52,,3.537
Soybeans,Poor,None,163.84,8.43,2.28,2.986
Corn,Good,None,126.26,9.03,1.46,3.347
Soybeans,Fair,,97.75,17.65,1.12,3.747
Soybeans,Fair,Sprinkler,153.96,11.84,,3.33
Soybeans,Good,None,129.87,7.97,2.09,4.261
Corn,Good,Sprinkler,113.43,22.09,3.03,6.028
Corn,Fair,,249.73,16.58,2.11,4.071
Corn,Good,Drip,184.12,15.22,1.78,5.396
Corn,Fair,Drip,143.55,9.34,3.67,5.624
Soybeans,Fair,,48.34,7.76,1.85,3.281
Wheat,Fair,Drip,352.01,7.74,2.29,4.915
Corn,Poor,,55.78,13.93,1.78,4.29
Soybeans,Poor,Drip,44.07,3.36,0.7,2.815
Soybeans,Good,None,137.63,5.38,,4.342
Wheat,Good,None,38.2,1.3,3.13,5.076
Wheat,Fair,Drip,111.61,26.55,2.64,4.715
Corn,Good,None,84.23,3.45,1.84,4.147
Soybeans,Good,None,213.27,1.93,1.31,3.828
Wheat,Fair,None,154.35,19.1,1.35,3.541
Soybeans,Fair,Drip,76.27,8.06,1.88,4.146
Corn,Fair,Sprinkler,98.59,33.54,2.05,4.582
Soybeans,Fair,None,96.4,11.26,,3.082
Soybeans,Poor,,162.51,7.67,0.89,2.663
Soybeans,Fair,None,201.42,4.18,2.91,3.406
Soybeans,Good,,144.21,11.09,,4.125
Soybeans,Good,None,124.92,14.26,,3.352
Soybeans,Fair,None,168.25,8.3,2.73,4.57
Wheat,Good,None,297.52,7.87,1.16,4.428
Corn,Good,,55.21,8.74,2.47,4.078
Corn,Good,None,78.51,11.11,2.49,5.028
Corn,Poor,Sprinkler,168.66,11.53,2.25,4.683
Soybeans,Poor,Drip,82.71,6.69,0.87,2.611
Corn,Fair,Drip,86.73,14.81,2.13,5.102
Soybeans,Good,Sprinkler,56.42,1.37,2.25,3.284
Wheat,Fair,,52.24,16.28,2.17,3.523
Corn,Good,None,131.77,2.91,,3.364
Wheat,Fair,Drip,49.88,16.84,0.93,4.615
Corn,Good,Sprinkler,153.04,9.38,2.5,4.079
